Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount,Claim No Check,Policy No Check,Class Check,Date Reasonability,Gross=Net+Reinsurance
C361751,P626917,2015.0,Aisha Ahmed,Iota Claims Ltd,Motor Private,70,Motor Private Third Party Only,703,Own Damage,2015-10-24,2015-10-28,2025-04-25,2015-05-05,2016-05-04,0,0,163715,163715.0,0.0,163715.0,OK,OK,OK,OK,OK
C950068,P169433,2025.0,Lucas Smith,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-10,2025-03-11,2025-04-25,2024-12-19,2025-12-18,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,CHECK,OK
C298509,P180461,2024.0,Nina Brown,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-10,2025-03-11,2025-05-12,2024-11-13,2025-11-12,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,CHECK,OK
C777771,P259314,2024.0,Nina Shah,Eta Risk Solutions,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-26,2025-03-27,2025-05-06,2024-11-15,2025-11-14,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,CHECK,OK
C895570,P354932,2024.0,Raj Johnson,Horizon Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-26,2025-03-04,2025-05-06,2024-03-30,2025-03-29,0,0,6980,6980.0,0.0,6980.0,OK,OK,OK,OK,OK
C930512,P405771,2024.0,Ethan Shah,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-02,2025-01-09,2025-05-12,2024-10-30,2025-10-29,0,0,3140,3140.0,0.0,3140.0,OK,OK,OK,CHECK,OK
C607766,P815728,2023.0,Amelia Ahmed,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2023-09-24,2023-09-28,2025-05-09,2023-01-06,2023-11-04,0,0,15000,15000.0,0.0,15000.0,OK,OK,OK,OK,OK
C874419,P201509,2024.0,Omar Miller,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-09,2024-10-29,2025-04-25,2024-04-05,2025-02-04,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C323386,P131014,2024.0,Mateo Thompson,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-17,2025-01-21,2025-04-25,2024-04-05,2025-02-04,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C930722,P317281,2024.0,Maya Hughes,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-08,2025-02-10,2025-05-06,2024-12-20,2025-11-30,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,CHECK,OK
C179434,P320718,2023.0,Nina Johnson,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-01-14,2023-01-24,2025-04-25,2023-01-01,2023-12-31,28000,0,0,28000.0,0.0,28000.0,OK,OK,OK,OK,OK
C278893,P775790,2023.0,Ella Williams,Eta Risk Solutions,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-09-06,2023-09-08,2025-04-25,2023-02-14,2024-02-13,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C762842,P924460,2021.0,Amelia Miller,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2022-06-29,2022-07-06,2025-04-25,2021-10-12,2022-10-11,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C854922,P832942,2023.0,Amelia Ahmed,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-01-16,2024-01-17,2025-04-25,2023-03-23,2024-03-22,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C615775,P929968,2024.0,Arjun Wilson,Pegasus Insurance,Motor Private,70,Motor Private Third Party Only,703,Own Damage,2025-02-15,2025-03-05,2025-04-25,2024-05-05,2025-05-04,0,0,23460,23460.0,0.0,23460.0,OK,OK,OK,OK,OK
C570387,P665629,2024.0,Aarav Lewis,Gamma Insurance Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-17,2025-03-18,2025-04-25,2024-11-02,2025-11-01,0,0,2320,2320.0,0.0,2320.0,OK,OK,OK,CHECK,OK
C486789,P478571,2023.0,Omar Ahmed,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-27,2024-10-04,2025-05-09,2023-11-06,2024-10-07,0,0,12000,12000.0,0.0,12000.0,OK,OK,OK,OK,OK
C250909,P925841,2024.0,Aarav Williams,Summit Brokers,Motor Commercial,80,PSV,804,Own Damage,2025-03-19,2025-03-25,2025-05-09,2025-01-06,2025-11-05,0,0,10500,10500.0,0.0,10500.0,OK,OK,OK,CHECK,OK
C264611,P771935,2025.0,Arjun Williams,Broker One,Motor Private,70,Motor Private Third Party Only,703,Injury To Third Part,2025-03-01,2025-03-04,2025-05-06,2025-02-17,2026-02-16,77500,0,0,77500.0,0.0,77500.0,OK,OK,OK,CHECK,OK
C815623,P748155,2024.0,Maya Singh,Zeta Assurance,Fire Domestic,3,Domestic Package,30,Accidental Damage,2025-01-15,2025-02-18,2025-05-28,2024-11-18,2025-11-17,71000,0,0,71000.0,0.0,71000.0,OK,OK,OK,CHECK,OK
C938539,P395445,2023.0,Raj Brown,Lambda Insurance Group,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2023-03-18,2023-03-21,2025-05-02,2023-03-07,2023-04-07,63211,0,0,63211.0,0.0,63211.0,OK,OK,OK,OK,OK
C778124,P592218,2023.0,Isla Smith,Beta Risk Partners,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2023-03-18,2023-03-21,2025-05-02,2023-03-07,2023-04-07,92590,0,0,92590.0,0.0,92590.0,OK,OK,OK,OK,OK
C662518,P806967,2023.0,Leo Fernandez,Gamma Insurance Brokers,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2023-03-18,2023-03-21,2025-05-02,2023-03-07,2023-04-07,111264,0,0,111264.0,0.0,111264.0,OK,OK,OK,OK,OK
C397095,P650554,2024.0,Yusuf Hughes,Taurus Brokers,Motor Commercial,80,Motor Commercial Comprehensive,800,Windscreen Damage,2024-12-20,2025-04-02,2025-05-30,2024-12-02,2025-01-01,5500,0,0,5500.0,0.0,5500.0,OK,OK,OK,OK,OK
C846408,P495883,2024.0,Aisha Hughes,Gamma Insurance Brokers,Motor Commercial,80,General Cartage,807,Accidental Damage,2025-01-29,2025-02-07,2025-05-02,2024-12-17,2025-04-20,19731,0,0,19731.0,0.0,19731.0,OK,OK,OK,OK,OK
