Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount
C361751,P626917,2015,Aisha Ahmed,Iota Claims Ltd,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,24/10/2015,28/10/2015,25/04/2025,05/05/2015,04/05/2016,0,0,163715,163715,0,163715
C950068,P169433,2025,Lucas Smith,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/03/2025,11/03/2025,25/04/2025,19/12/2024,18/12/2025,0,0,6380,6380,0,6380
C298509,P180461,2024,Nina Brown,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/03/2025,11/03/2025,12/05/2025,13/11/2024,12/11/2025,0,0,6380,6380,0,6380
C777771,P259314,2024,Nina Shah,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/03/2025,27/03/2025,06/05/2025,15/11/2024,14/11/2025,0,0,6980,6980,0,6980
C895570,P354932,2024,Raj Johnson,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2025,04/03/2025,06/05/2025,30/03/2024,29/03/2025,0,0,6980,6980,0,6980
C930512,P405771,2024,Ethan Shah,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/01/2025,09/01/2025,12/05/2025,30/10/2024,29/10/2025,0,0,3140,3140,0,3140
C607766,P815728,2023,Amelia Ahmed,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,24/09/2023,28/09/2023,09/05/2025,06/01/2023,04/11/2023,0,0,15000,15000,0,15000
C874419,P201509,2024,Omar Miller,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/10/2024,29/10/2024,25/04/2025,05/04/2024,04/02/2025,0,0,6380,6380,0,6380
C323386,P131014,2024,Mateo Thompson,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/01/2025,21/01/2025,25/04/2025,05/04/2024,04/02/2025,0,0,6380,6380,0,6380
C930722,P317281,2024,Maya Hughes,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,08/02/2025,10/02/2025,06/05/2025,20/12/2024,30/11/2025,0,0,6380,6380,0,6380
C179434,P320718,2023,Nina Johnson,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/01/2023,24/01/2023,25/04/2025,01/01/2023,31/12/2023,28000,0,0,28000,0,28000
C278893,P775790,2023,Ella Williams,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/09/2023,08/09/2023,25/04/2025,14/02/2023,13/02/2024,0,0,6380,6380,0,6380
C762842,P924460,2021,Amelia Miller,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,29/06/2022,06/07/2022,25/04/2025,12/10/2021,11/10/2022,0,0,6380,6380,0,6380
C854922,P832942,2023,Amelia Ahmed,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/01/2024,17/01/2024,25/04/2025,23/03/2023,22/03/2024,0,0,6380,6380,0,6380
C615775,P929968,2024,Arjun Wilson,Pegasus Insurance,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,15/02/2025,05/03/2025,25/04/2025,05/05/2024,04/05/2025,0,0,23460,23460,0,23460
C570387,P665629,2024,Aarav Lewis,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/03/2025,18/03/2025,25/04/2025,02/11/2024,01/11/2025,0,0,2320,2320,0,2320
C486789,P478571,2023,Omar Ahmed,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,27/09/2024,04/10/2024,09/05/2025,06/11/2023,07/10/2024,0,0,12000,12000,0,12000
